ablation,dataset,variant,mean_acc,std_acc,n_trials
cotrain_and_augmentation,glass,control,0.5909090836842855,0.032141214772306796,3
cotrain_and_augmentation,pima-diabetes,control,0.7597402532895406,0.015905758905401312,3
cotrain_and_augmentation,sonar,control,0.738095243771871,0.08908706470746387,3
cotrain_and_augmentation,wine,control,0.9814814726511637,0.02618915253190132,3
cotrain_and_augmentation,glass,cotrain_lam_0.01,0.47727272907892865,0.17007534348609477,3
cotrain_and_augmentation,pima-diabetes,cotrain_lam_0.01,0.7640692591667175,0.02207365816684134,3
cotrain_and_augmentation,sonar,cotrain_lam_0.01,0.817460318406423,0.029695702395832684,3
cotrain_and_augmentation,wine,cotrain_lam_0.01,0.9722222089767456,0.02268047139621209,3
cotrain_and_augmentation,glass,cotrain_lam_0.1,0.5227272709210714,0.11287623801250177,3
cotrain_and_augmentation,pima-diabetes,cotrain_lam_0.1,0.7683982451756796,0.013342892224102202,3
cotrain_and_augmentation,sonar,cotrain_lam_0.1,0.7698412736256918,0.09589719277223213,3
cotrain_and_augmentation,wine,cotrain_lam_0.1,0.9907407363255819,0.01309457626595066,3
cotrain_and_augmentation,glass,cotrain_lam_1.0,0.5378787815570831,0.056691788242037064,3
cotrain_and_augmentation,pima-diabetes,cotrain_lam_1.0,0.7900432745615641,0.021427485880837534,3
cotrain_and_augmentation,sonar,cotrain_lam_1.0,0.7301587263743082,0.029695702395832684,3
cotrain_and_augmentation,wine,cotrain_lam_1.0,0.9537037014961243,0.02618912443400231,3
cotrain_and_augmentation,glass,data_augmentation,0.3484848539034526,0.010713742940418765,3
cotrain_and_augmentation,pima-diabetes,data_augmentation,0.7467532555262247,0.031811542144287656,3
cotrain_and_augmentation,sonar,data_augmentation,0.7063492139180502,0.0296956811558175,3
cotrain_and_augmentation,wine,data_augmentation,0.8611111243565878,0.14163942443900387,3
cotrain_and_augmentation,glass,pretrain_scarf,0.5606060524781545,0.08769574230372916,3
cotrain_and_augmentation,pima-diabetes,pretrain_scarf,0.7424242496490479,0.02207365816684134,3
cotrain_and_augmentation,sonar,pretrain_scarf,0.7698412537574768,0.02244783298538727,3
cotrain_and_augmentation,wine,pretrain_scarf,0.9629629453023275,0.02618915253190132,3
