ablation,dataset,variant,mean_acc,std_acc,n_trials
temperature,glass,temp_0.01,0.6136363645394644,0.11287623601229999,3
temperature,pima-diabetes,temp_0.01,0.7597402334213257,0.009183208234644658,3
temperature,sonar,temp_0.01,0.7460317413012186,0.06249211721286949,3
temperature,wine,temp_0.01,0.9629629651705424,0.05237827696590363,3
temperature,glass,temp_0.1,0.5833333134651184,0.010713728891469263,3
temperature,pima-diabetes,temp_0.1,0.7445887525876363,0.02007274663306781,3
temperature,sonar,temp_0.1,0.7777777711550394,0.04046840252945757,3
temperature,wine,temp_0.1,0.9722222089767456,0.02268047139621209,3
temperature,glass,temp_1.0,0.43939393758773804,0.07025468284518943,3
temperature,pima-diabetes,temp_1.0,0.7835497657457987,0.008098828408863414,3
temperature,sonar,temp_1.0,0.817460318406423,0.09187172970555364,3
temperature,wine,temp_1.0,0.9259259303410848,0.013094548168051652,3
temperature,glass,temp_10.0,0.469696968793869,0.02834588615601284,3
temperature,pima-diabetes,temp_10.0,0.7532467444737753,0.047717325383176065,3
temperature,sonar,temp_10.0,0.7301587263743082,0.12944052560033997,3
temperature,wine,temp_10.0,0.935185174147288,0.03464496577345647,3
