dataset,method,mean_acc,std_acc,n_trials
glass,control,0.5431818217039108,0.06464301066034885,10
glass,control+scarf,0.5909090846776962,0.0681818177302686,10
glass,control+scarf_ae,0.588636365532875,0.0743081025215056,10
glass,label_smooth,0.5159090906381607,0.05930902993238971,10
glass,label_smooth+scarf,0.5840909034013748,0.07190587253357818,10
glass,label_smooth+scarf_ae,0.5772727251052856,0.05856409218697526,10
glass,mixup,0.5295454502105713,0.07609394580861972,10
glass,mixup+scarf,0.5295454561710358,0.07810382213914907,10
glass,mixup+scarf_ae,0.5886363625526428,0.05227273028830005,10
ionosphere,control,0.9140845000743866,0.033596791022372924,10
ionosphere,control+scarf,0.8971830904483795,0.028204203200654594,10
ionosphere,control+scarf_ae,0.8971830844879151,0.017871241834427072,10
ionosphere,label_smooth,0.9239436626434326,0.020116715386345945,10
ionosphere,label_smooth+scarf,0.9112676024436951,0.026760572508765214,10
ionosphere,label_smooth+scarf_ae,0.9070422410964966,0.02373565155567885,10
ionosphere,mixup,0.914084506034851,0.0239436703569794,10
ionosphere,mixup+scarf,0.8999999940395356,0.04647886807268632,10
ionosphere,mixup+scarf_ae,0.89295774102211,0.025352108478549643,10
pima-diabetes,control,0.7519480466842652,0.023734612754877534,10
pima-diabetes,control+scarf,0.750649344921112,0.029500808985583497,10
pima-diabetes,control+scarf_ae,0.7512986958026886,0.028460513184087467,10
pima-diabetes,label_smooth,0.7610389530658722,0.0320492415040943,10
pima-diabetes,label_smooth+scarf,0.7480519533157348,0.028571416844027683,10
pima-diabetes,label_smooth+scarf_ae,0.7538960933685303,0.034659747064113205,10
pima-diabetes,mixup,0.7636363744735718,0.03594376017729772,10
pima-diabetes,mixup+scarf,0.7584415555000306,0.033212225749967086,10
pima-diabetes,mixup+scarf_ae,0.7590908944606781,0.01846942018132687,10
sonar,control,0.7476190447807312,0.044160089298045435,10
sonar,control+scarf,0.7452381014823913,0.048853053892035384,10
sonar,control+scarf_ae,0.6452381014823914,0.09431096420406268,10
sonar,label_smooth,0.7547619044780731,0.08251295658724295,10
sonar,label_smooth+scarf,0.7619047582149505,0.08039019475109385,10
sonar,label_smooth+scarf_ae,0.6952380955219268,0.06370994784198525,10
sonar,mixup,0.7785714268684387,0.07225709769816166,10
sonar,mixup+scarf,0.711904764175415,0.08140628604686624,10
sonar,mixup+scarf_ae,0.6714285731315612,0.09920316520607296,10
wheat-seeds,control,0.8720930337905883,0.06174845180554179,10
wheat-seeds,control+scarf,0.8674418509006501,0.051003977100012726,10
wheat-seeds,control+scarf_ae,0.8837209343910217,0.05600742355238049,10
wheat-seeds,label_smooth,0.8604651093482971,0.06577737264171736,10
wheat-seeds,label_smooth+scarf,0.8697674393653869,0.05809301086231068,10
wheat-seeds,label_smooth+scarf_ae,0.9162790715694428,0.036326741684759405,10
wheat-seeds,mixup,0.8674418568611145,0.037570935174287355,10
wheat-seeds,mixup+scarf,0.8790697634220124,0.04387899282376963,10
wheat-seeds,mixup+scarf_ae,0.8837209284305573,0.03449395084397267,10
wine,control,0.9222222208976746,0.06309897444787942,10
wine,control+scarf,0.9027777850627899,0.04689428203681147,10
wine,control+scarf_ae,0.9472222208976746,0.045558937794910166,10
wine,label_smooth,0.924999988079071,0.06340394987759611,10
wine,label_smooth+scarf,0.9138888835906982,0.07076521550595792,10
wine,label_smooth+scarf_ae,0.9583333253860473,0.0468942873328209,10
wine,mixup,0.9083333313465118,0.12549284558045384,10
wine,mixup+scarf,0.9166666567325592,0.0496903965382185,10
wine,mixup+scarf_ae,0.9416666567325592,0.04722222124829217,10
