dataset,method,mean_acc,std_acc,n_trials
openml_11_balance-scale,control,0.9507936358451843,0.04059273719409035,15
openml_11_balance-scale,control+scarf,0.952910037835439,0.03554830799591862,15
openml_11_balance-scale,control+scarf_ae,0.9550264437993368,0.029363882342816065,15
openml_11_balance-scale,label_smooth,0.9481481353441874,0.03172838515435201,15
openml_11_balance-scale,label_smooth+scarf,0.932275120417277,0.025898918879337623,15
openml_11_balance-scale,label_smooth+scarf_ae,0.9291005214055379,0.030181923721171035,15
openml_11_balance-scale,mixup,0.9063491980234782,0.03242656640151859,15
openml_11_balance-scale,mixup+scarf,0.9137566010157268,0.029105338706740744,15
openml_11_balance-scale,mixup+scarf_ae,0.9047618945439656,0.033295518899324264,15
openml_1494_qsar-biodeg,control,0.8559748450915019,0.023291681768713768,15
openml_1494_qsar-biodeg,control+scarf,0.8625786264737447,0.021572420052605214,15
openml_1494_qsar-biodeg,control+scarf_ae,0.8650943398475647,0.02142984457684902,15
openml_1494_qsar-biodeg,label_smooth,0.8666666746139526,0.02420362470480811,15
openml_1494_qsar-biodeg,label_smooth+scarf,0.8591194947560629,0.027765714043320733,15
openml_1494_qsar-biodeg,label_smooth+scarf_ae,0.8650943358739217,0.02043783625403678,15
openml_1494_qsar-biodeg,mixup,0.8701257824897766,0.020587287801379802,15
openml_1494_qsar-biodeg,mixup+scarf,0.8606918215751648,0.020150336857050297,15
openml_1494_qsar-biodeg,mixup+scarf_ae,0.8647798657417297,0.02445966911959779,15
openml_1510_wdbc,control,0.9608187119166056,0.017795454213106243,15
openml_1510_wdbc,control+scarf,0.9491228063901266,0.019796851148148997,15
openml_1510_wdbc,control+scarf_ae,0.9497076074282328,0.02087317904736904,15
openml_1510_wdbc,label_smooth,0.9590643246968588,0.020922275850903886,15
openml_1510_wdbc,label_smooth+scarf,0.9514619906743368,0.02415424665505549,15
openml_1510_wdbc,label_smooth+scarf_ae,0.9497075994809469,0.022754472942498386,15
openml_1510_wdbc,mixup,0.9497076114018758,0.01880459619936204,15
openml_1510_wdbc,mixup+scarf,0.9543859640757243,0.019271634018214485,15
openml_1510_wdbc,mixup+scarf_ae,0.9497076074282328,0.020625947165969282,15
openml_15_breast-w,control,0.965238098303477,0.01449058361516908,15
openml_15_breast-w,control+scarf,0.965238090356191,0.013519107258567885,15
openml_15_breast-w,control+scarf_ae,0.9666666666666667,0.01444356093291585,15
openml_15_breast-w,label_smooth,0.9614285628000895,0.014474931328143188,15
openml_15_breast-w,label_smooth+scarf,0.9676190416018168,0.014952674695657154,15
openml_15_breast-w,label_smooth+scarf_ae,0.9633333325386048,0.013768405528860468,15
openml_15_breast-w,mixup,0.9614285707473755,0.013751926888691517,15
openml_15_breast-w,mixup+scarf,0.9642857074737549,0.013801314477344914,15
openml_15_breast-w,mixup+scarf_ae,0.965238094329834,0.013265125766662961,15
openml_37_diabetes,control,0.7614718516667683,0.02503346307367826,15
openml_37_diabetes,control+scarf,0.7601731538772583,0.029277630427643222,15
openml_37_diabetes,control+scarf_ae,0.7614718556404114,0.03095766402049446,15
openml_37_diabetes,label_smooth,0.7649350523948669,0.027262407666630913,15
openml_37_diabetes,label_smooth+scarf,0.7714285651842753,0.025003502683448493,15
openml_37_diabetes,label_smooth+scarf_ae,0.7554112593332927,0.032911809988967,15
openml_37_diabetes,mixup,0.7597402572631836,0.029898338294184958,15
openml_37_diabetes,mixup+scarf,0.7748917619387309,0.02367137776479398,15
openml_37_diabetes,mixup+scarf_ae,0.7735930641492208,0.03284341707116851,15
openml_54_vehicle,control,0.7423529426256815,0.0378913601842217,15
openml_54_vehicle,control+scarf,0.7498039205869039,0.032423568401116626,15
openml_54_vehicle,control+scarf_ae,0.7415686249732971,0.03986520911576903,15
openml_54_vehicle,label_smooth,0.7290196061134339,0.04456461093077393,15
openml_54_vehicle,label_smooth+scarf,0.7537254929542542,0.030593251082726626,15
openml_54_vehicle,label_smooth+scarf_ae,0.7576470573743185,0.03194574379096484,15
openml_54_vehicle,mixup,0.7333333333333333,0.024174165962893613,15
openml_54_vehicle,mixup+scarf,0.7419607877731323,0.03469202774913731,15
openml_54_vehicle,mixup+scarf_ae,0.7533333341280619,0.030487516710693375,15
