dataset,method,mean_acc,std_acc,n_trials
openml_11_balance-scale,bitempered,0.9079365015029908,0.03450935896293526,15
openml_11_balance-scale,bitempered+scarf,0.8915343840916952,0.038736515584918044,15
openml_11_balance-scale,bitempered+scarf_ae,0.9042327960332235,0.02308720946689877,15
openml_11_balance-scale,control,0.8910052895545959,0.01725873142724993,15
openml_11_balance-scale,control+scarf,0.8931216796239217,0.01711213260230494,15
openml_11_balance-scale,control+scarf_ae,0.8931216915448507,0.022422878576858353,15
openml_11_balance-scale,deep_knn,0.8835978746414185,0.03183409542502642,15
openml_11_balance-scale,deep_knn+scarf,0.8883597771326701,0.023268391334627537,15
openml_11_balance-scale,deep_knn+scarf_ae,0.8904761830965678,0.034436273464512945,15
openml_11_balance-scale,distill,0.8862433751424154,0.02893168631669607,15
openml_11_balance-scale,distill+scarf,0.888359785079956,0.02933527115084845,15
openml_11_balance-scale,distill+scarf_ae,0.8788359761238098,0.031807699669882575,15
openml_11_balance-scale,dropout,0.882010567188263,0.025242035841026685,15
openml_11_balance-scale,dropout+scarf,0.8920634786287943,0.020036077897114563,15
openml_11_balance-scale,dropout+scarf_ae,0.8873015801111858,0.02303866476942085,15
openml_11_balance-scale,label_smooth,0.8952380895614624,0.019697894142505903,15
openml_11_balance-scale,label_smooth+scarf,0.8962962905565898,0.017500357130301014,15
openml_11_balance-scale,label_smooth+scarf_ae,0.8857142686843872,0.023685743331401287,15
openml_11_balance-scale,mixup,0.8899470845858256,0.014451318698576054,15
openml_11_balance-scale,mixup+scarf,0.8878306825955709,0.021466097776723692,15
openml_11_balance-scale,mixup+scarf_ae,0.8978836019833882,0.019839505017895186,15
openml_1494_qsar-biodeg,bitempered,0.8342767318089803,0.027712232903728852,15
openml_1494_qsar-biodeg,bitempered+scarf,0.847484270731608,0.026996444161432397,15
openml_1494_qsar-biodeg,bitempered+scarf_ae,0.8437106847763062,0.030073817043833374,15
openml_1494_qsar-biodeg,control,0.8474842786788941,0.030260663469292518,15
openml_1494_qsar-biodeg,control+scarf,0.851572322845459,0.026452496464677833,15
openml_1494_qsar-biodeg,control+scarf_ae,0.846855346361796,0.03697610550103154,15
openml_1494_qsar-biodeg,deep_knn,0.8424528280893961,0.028500349012717075,15
openml_1494_qsar-biodeg,deep_knn+scarf,0.8550314505894979,0.02332985846575608,15
openml_1494_qsar-biodeg,deep_knn+scarf_ae,0.8503144542376201,0.023393354824591883,15
openml_1494_qsar-biodeg,distill,0.8289308269818624,0.037000163269808845,15
openml_1494_qsar-biodeg,distill+scarf,0.8405660351117452,0.024673013217642863,15
openml_1494_qsar-biodeg,distill+scarf_ae,0.8386792461077373,0.030916927417401714,15
openml_1494_qsar-biodeg,dropout,0.848742139339447,0.02248811674645448,15
openml_1494_qsar-biodeg,dropout+scarf,0.850000003973643,0.023940716024618364,15
openml_1494_qsar-biodeg,dropout+scarf_ae,0.8446540832519531,0.02498763984755307,15
openml_1494_qsar-biodeg,label_smooth,0.8383647799491882,0.019215860390599006,15
openml_1494_qsar-biodeg,label_smooth+scarf,0.850943390528361,0.01668148794816383,15
openml_1494_qsar-biodeg,label_smooth+scarf_ae,0.8386792381604512,0.034456576499207164,15
openml_1494_qsar-biodeg,mixup,0.8389937202135722,0.026842157267700735,15
openml_1494_qsar-biodeg,mixup+scarf,0.8415094335873922,0.016412552844542252,15
openml_1494_qsar-biodeg,mixup+scarf_ae,0.851257864634196,0.023291677423149682,15
openml_1510_wdbc,bitempered,0.952046795686086,0.014276660116350906,15
openml_1510_wdbc,bitempered+scarf,0.9444444457689921,0.02211424039721145,15
openml_1510_wdbc,bitempered+scarf_ae,0.9485380172729492,0.01629051122849593,15
openml_1510_wdbc,control,0.9450292547543844,0.022067786810522207,15
openml_1510_wdbc,control+scarf,0.9456140398979187,0.02291919666321882,15
openml_1510_wdbc,control+scarf_ae,0.9532163739204407,0.022573396600570853,15
openml_1510_wdbc,deep_knn,0.9438596487045288,0.023053100663560522,15
openml_1510_wdbc,deep_knn+scarf,0.9421052614847819,0.027141051741187007,15
openml_1510_wdbc,deep_knn+scarf_ae,0.9432748595873515,0.02072519943668029,15
openml_1510_wdbc,distill,0.9467836300532023,0.023200977072419617,15
openml_1510_wdbc,distill+scarf,0.9450292507807414,0.017967596923805455,15
openml_1510_wdbc,distill+scarf_ae,0.9502924005190532,0.021407017971310636,15
openml_1510_wdbc,dropout,0.9438596566518148,0.028070177882914365,15
openml_1510_wdbc,dropout+scarf,0.946198832988739,0.024989300704359552,15
openml_1510_wdbc,dropout+scarf_ae,0.9473684271176656,0.022874390955575453,15
openml_1510_wdbc,label_smooth,0.9497076034545898,0.027266752996646833,15
openml_1510_wdbc,label_smooth+scarf,0.9438596526781718,0.017485288983747058,15
openml_1510_wdbc,label_smooth+scarf_ae,0.944444461663564,0.01139975471126876,15
openml_1510_wdbc,mixup,0.9467836260795593,0.02252789757214425,15
openml_1510_wdbc,mixup+scarf,0.9421052694320678,0.0237112660902364,15
openml_1510_wdbc,mixup+scarf_ae,0.9432748595873515,0.022844469322556956,15
openml_15_breast-w,bitempered,0.9628571391105651,0.012562765023071899,15
openml_15_breast-w,bitempered+scarf,0.9638095180193583,0.016176462449774238,15
openml_15_breast-w,bitempered+scarf_ae,0.9638095219930013,0.013915840789037412,15
openml_15_breast-w,control,0.9633333285649618,0.014723446075841896,15
openml_15_breast-w,control+scarf,0.9638095219930013,0.017779196183344715,15
openml_15_breast-w,control+scarf_ae,0.965238090356191,0.015400913506062413,15
openml_15_breast-w,deep_knn,0.9657142837842305,0.014568618910034236,15
openml_15_breast-w,deep_knn+scarf,0.9647619009017945,0.016795424429463197,15
openml_15_breast-w,deep_knn+scarf_ae,0.9661904732386272,0.012901153687263488,15
openml_15_breast-w,distill,0.9647619009017945,0.012634757208026877,15
openml_15_breast-w,distill+scarf,0.9647619009017945,0.014630746337526326,15
openml_15_breast-w,distill+scarf_ae,0.965238090356191,0.014013268770118532,15
openml_15_breast-w,dropout,0.9657142798105876,0.013850508749359289,15
openml_15_breast-w,dropout+scarf,0.9647619048754374,0.016591663637364373,15
openml_15_breast-w,dropout+scarf_ae,0.9676190455754597,0.01449058361516908,15
openml_15_breast-w,label_smooth,0.9599999944368999,0.022100571852046332,15
openml_15_breast-w,label_smooth+scarf,0.9628571430842082,0.015028310246134114,15
openml_15_breast-w,label_smooth+scarf_ae,0.9642857074737549,0.0135526145943473,15
openml_15_breast-w,mixup,0.9633333365122477,0.012472186070280559,15
openml_15_breast-w,mixup+scarf,0.9623809417088827,0.017969490169166095,15
openml_15_breast-w,mixup+scarf_ae,0.9666666587193807,0.016426843015215447,15
openml_37_diabetes,bitempered,0.7541125496228536,0.029602273795872706,15
openml_37_diabetes,bitempered+scarf,0.760606054464976,0.031622467392560444,15
openml_37_diabetes,bitempered+scarf_ae,0.754978354771932,0.041441021837769626,15
openml_37_diabetes,control,0.7536796569824219,0.03340352149547042,15
openml_37_diabetes,control+scarf,0.7450216333071391,0.032464634367589756,15
openml_37_diabetes,control+scarf_ae,0.7480519453684489,0.03810014607497484,15
openml_37_diabetes,deep_knn,0.7571428537368774,0.03161654063297096,15
openml_37_diabetes,deep_knn+scarf,0.7640692591667175,0.028420157010263025,15
openml_37_diabetes,deep_knn+scarf_ae,0.7558441519737243,0.03170532585981536,15
openml_37_diabetes,distill,0.7467532515525818,0.03259713100996142,15
openml_37_diabetes,distill+scarf,0.7584415555000306,0.031917405605770124,15
openml_37_diabetes,distill+scarf_ae,0.7567099571228028,0.03292888700239942,15
