,control,control+scarf,control+scarf_ae,dropout,dropout+scarf,dropout+scarf_ae,mixup,mixup+scarf,mixup+scarf_ae,label_smooth,label_smooth+scarf,label_smooth+scarf_ae,distill,distill+scarf,distill+scarf_ae,deep_knn,deep_knn+scarf,deep_knn+scarf_ae,bitempered,bitempered+scarf,bitempered+scarf_ae
control,,,,,,,,,,,,,1.0,,,,,,,,
control+scarf,,,,,,,,,,,,,,,,,,,,,
control+scarf_ae,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,
dropout,,,,,,,,,,,,,1.0,,1.0,,,1.0,0.0,,0.0
dropout+scarf,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,
dropout+scarf_ae,,,,,,,,,,,,,,,,,,,,,
mixup,,,,,,,,,,,,,1.0,,,,,,,,
mixup+scarf,,,,,,,,,,,,,1.0,,1.0,,,,,,
mixup+scarf_ae,,,,,,,,,,,,,,,,,,,,,
label_smooth,,,,,,,,,,,,,1.0,,,,0.0,,,,
label_smooth+scarf,,,,,,,,,,,,,,,,,,,,,
label_smooth+scarf_ae,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,0.0
distill,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,0.0,,,0.0,
distill+scarf,,,,,,,,,,,,,,,,,,,,,
distill+scarf_ae,,,0.0,0.0,0.0,,,0.0,,,,0.0,,,,,,,0.0,0.0,0.0
deep_knn,,,,,,,,,,,,,,,,,,,,,
deep_knn+scarf,,,,,,,,,,1.0,,,1.0,,,,,,1.0,,
deep_knn+scarf_ae,,,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,0.0,
bitempered,,,,1.0,,,,,,,,,,,1.0,,0.0,,,,
bitempered+scarf,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,
bitempered+scarf_ae,,,,1.0,,,,,,,,1.0,,,1.0,,,,,,
