dataset,method,mean_acc,std_acc,n_trials
openml_11_balance-scale,control,0.8608465552330017,0.03571330828939487,15
openml_11_balance-scale,control+scarf,0.8724867622057597,0.037837164362008104,15
openml_11_balance-scale,control+scarf_ae,0.8560846447944641,0.03765917357023758,15
openml_11_balance-scale,distill,0.8402116338411967,0.030924099692200217,15
openml_11_balance-scale,distill+scarf,0.8396825393040975,0.04798798786626037,15
openml_11_balance-scale,distill+scarf_ae,0.8560846447944641,0.04228171990591794,15
openml_11_balance-scale,dropout,0.8603174606959025,0.04751310538106863,15
openml_11_balance-scale,dropout+scarf,0.8550264596939087,0.07276623341989137,15
openml_11_balance-scale,dropout+scarf_ae,0.8682539582252502,0.028067272620594233,15
openml_11_balance-scale,label_smooth,0.8661375562349956,0.04478953166502732,15
openml_11_balance-scale,label_smooth+scarf,0.8666666626930237,0.031772476445669655,15
openml_11_balance-scale,label_smooth+scarf_ae,0.8788359800974528,0.03838805730229468,15
openml_11_balance-scale,mixup,0.801587293545405,0.11368891548813972,15
openml_11_balance-scale,mixup+scarf,0.8661375602086385,0.027776512318770957,15
openml_11_balance-scale,mixup+scarf_ae,0.8544973413149516,0.05442280984767815,15
openml_11_balance-scale,self_train,0.870370360215505,0.04391853284297964,15
openml_11_balance-scale,self_train+scarf,0.882010571161906,0.025075122246424688,15
openml_11_balance-scale,self_train+scarf_ae,0.8841269810994467,0.0248958485879235,15
openml_11_balance-scale,tri_train,0.879365074634552,0.015389470013482861,5
openml_11_balance-scale,tri_train+scarf,0.8888888835906983,0.013280324214048416,5
openml_11_balance-scale,tri_train+scarf_ae,0.876190459728241,0.023328463428026868,5
openml_1494_qsar-biodeg,control,0.7455974976221721,0.08101619205818238,15
openml_1494_qsar-biodeg,control+scarf,0.8342767357826233,0.0192467183711304,15
openml_1494_qsar-biodeg,control+scarf_ae,0.8267295559247335,0.028010376088502754,15
openml_1494_qsar-biodeg,distill,0.7405660470326741,0.07646747325259302,15
openml_1494_qsar-biodeg,distill+scarf,0.8062893112500509,0.028999096989087123,15
openml_1494_qsar-biodeg,distill+scarf_ae,0.8295597513516744,0.0245927189470908,15
openml_1494_qsar-biodeg,dropout,0.7339622735977173,0.08089403440860328,15
openml_1494_qsar-biodeg,dropout+scarf,0.8292452851931255,0.018486709029201173,15
openml_1494_qsar-biodeg,dropout+scarf_ae,0.8317610065142313,0.02415454214562726,15
openml_1494_qsar-biodeg,label_smooth,0.7710691889127096,0.07237896952592043,15
openml_1494_qsar-biodeg,label_smooth+scarf,0.8084905624389649,0.027868811352951568,15
openml_1494_qsar-biodeg,label_smooth+scarf_ae,0.8327043970425924,0.0265644183912171,15
openml_1494_qsar-biodeg,mixup,0.7345912059148153,0.08152722906459936,15
openml_1494_qsar-biodeg,mixup+scarf,0.801572322845459,0.0345110593113195,15
openml_1494_qsar-biodeg,mixup+scarf_ae,0.8210691889127095,0.02970658977841861,15
openml_1494_qsar-biodeg,self_train,0.7531446615854899,0.0905310741427637,15
openml_1494_qsar-biodeg,self_train+scarf,0.8377358555793762,0.0287077762928862,15
openml_1494_qsar-biodeg,self_train+scarf_ae,0.8298742135365804,0.022155873145608535,15
openml_1494_qsar-biodeg,tri_train,0.698113226890564,0.06433103653786941,5
openml_1494_qsar-biodeg,tri_train+scarf,0.8471697926521301,0.01354027220082184,5
openml_1494_qsar-biodeg,tri_train+scarf_ae,0.8433962225914001,0.011707248949213454,5
openml_1510_wdbc,control,0.9222222169240316,0.03168704811323072,15
openml_1510_wdbc,control+scarf,0.9280701835950216,0.021052638358549626,15
openml_1510_wdbc,control+scarf_ae,0.9222222288449605,0.024154239824475017,15
openml_1510_wdbc,distill,0.9152046799659729,0.03399870105574159,15
openml_1510_wdbc,distill+scarf,0.9222222248713176,0.018913417794996966,15
openml_1510_wdbc,distill+scarf_ae,0.9274853944778443,0.02062595370038224,15
openml_1510_wdbc,dropout,0.913450296719869,0.03705960274131347,15
openml_1510_wdbc,dropout+scarf,0.9263157924016316,0.02143894687737807,15
openml_1510_wdbc,dropout+scarf_ae,0.9239766200383505,0.029818833436933718,15
openml_1510_wdbc,label_smooth,0.9333333373069763,0.025982287332949907,15
openml_1510_wdbc,label_smooth+scarf,0.9309941530227661,0.017795468968873778,15
openml_1510_wdbc,label_smooth+scarf_ae,0.9263157963752746,0.021912270262709383,15
openml_1510_wdbc,mixup,0.9187134504318237,0.03573477693154131,15
openml_1510_wdbc,mixup+scarf,0.9210526426633199,0.011548789510490183,15
openml_1510_wdbc,mixup+scarf_ae,0.9280701835950216,0.025057640665753455,15
openml_1510_wdbc,self_train,0.9309941569964091,0.030364336580856202,15
openml_1510_wdbc,self_train+scarf,0.9339181383450826,0.0251937576375231,15
openml_1510_wdbc,self_train+scarf_ae,0.9362573186556499,0.025517452514933037,15
openml_1510_wdbc,tri_train,0.938596498966217,0.012405376950159608,5
openml_1510_wdbc,tri_train+scarf,0.9157894849777222,0.016269510913494295,5
openml_1510_wdbc,tri_train+scarf_ae,0.9228070139884949,0.012892066987853706,5
openml_15_breast-w,control,0.9604761878649394,0.01707659353131025,15
