,control,control+scarf,control+scarf_ae,dropout,dropout+scarf,dropout+scarf_ae,mixup,mixup+scarf,mixup+scarf_ae,label_smooth,label_smooth+scarf,label_smooth+scarf_ae,distill,distill+scarf,distill+scarf_ae,self_train,self_train+scarf,self_train+scarf_ae,tri_train,tri_train+scarf,tri_train+scarf_ae
control,,0.0,0.5,,0.5,0.5,,0.5,0.5,,0.0,0.0,,0.5,0.5,0.0,0.0,0.0,,0.0,0.0
control+scarf,1.0,,,1.0,,1.0,1.0,1.0,,0.5,1.0,,1.0,1.0,1.0,0.5,,,0.5,,
control+scarf_ae,0.5,,,0.5,,1.0,1.0,1.0,,0.5,,,1.0,,,0.5,0.0,0.0,0.5,0.0,
dropout,,0.0,0.5,,0.0,0.5,,0.5,0.5,,0.0,0.0,,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
dropout+scarf,0.5,,,1.0,,1.0,1.0,1.0,,0.5,1.0,,1.0,1.0,1.0,0.5,0.0,,0.5,,
dropout+scarf_ae,0.5,0.0,0.0,0.5,0.0,,0.6666666666666666,1.0,0.0,0.5,0.5,0.0,0.6666666666666666,0.5,,0.5,0.0,0.0,0.5,0.0,0.0
mixup,,0.0,0.0,,0.0,0.3333333333333333,,0.5,0.0,,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
mixup+scarf,0.5,0.0,0.0,0.5,0.0,0.0,0.5,,,0.5,,0.0,1.0,,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
mixup+scarf_ae,0.5,,,0.5,,1.0,1.0,,,0.5,,,1.0,,,0.5,0.0,,0.5,0.0,0.0
label_smooth,,0.5,0.5,,0.5,0.5,,0.5,0.5,,1.0,0.5,,1.0,0.5,,0.0,0.0,,0.0,0.0
label_smooth+scarf,1.0,0.0,,1.0,0.0,0.5,1.0,,,0.0,,0.0,1.0,,0.5,0.5,0.0,0.0,0.5,0.0,0.0
label_smooth+scarf_ae,1.0,,,1.0,,1.0,1.0,1.0,,0.5,1.0,,1.0,1.0,1.0,0.5,0.0,,0.5,,
distill,,0.0,0.0,,0.0,0.3333333333333333,,0.0,0.0,,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
distill+scarf,0.5,0.0,,0.5,0.0,0.5,1.0,,,0.0,,0.0,1.0,,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
distill+scarf_ae,0.5,0.0,,0.5,0.0,,0.5,1.0,,0.5,0.5,0.0,0.5,1.0,,0.5,0.0,0.0,0.5,0.0,0.0
self_train,1.0,0.5,0.5,1.0,0.5,0.5,1.0,1.0,0.5,,0.5,0.5,1.0,1.0,0.5,,0.0,0.5,,0.5,0.0
self_train+scarf,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,
self_train+scarf_ae,1.0,,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,0.5,,,1.0,,
tri_train,,0.5,0.5,1.0,0.5,0.5,1.0,0.6666666666666666,0.5,,0.5,0.5,1.0,0.6666666666666666,0.5,,0.0,0.0,,0.0,0.0
tri_train+scarf,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,0.5,0.0,,1.0,,
tri_train+scarf_ae,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,,
