dataset,method,mean_acc,std_acc,n_trials
glass,control,0.5613636344671249,0.09961185611718937,10
glass,scarf,0.49090908765792846,0.08755163956869469,10
glass,scarf_ae,0.5977272778749466,0.06432260162396114,10
ionosphere,control,0.9281690180301666,0.02394365598173928,10
ionosphere,scarf,0.891549289226532,0.03621115113542513,10
ionosphere,scarf_ae,0.8943661868572235,0.02763579855869122,10
pima-diabetes,control,0.7538960933685303,0.02837148437100714,10
pima-diabetes,scarf,0.7519480466842652,0.02674187969236381,10
pima-diabetes,scarf_ae,0.7597402572631836,0.02394685465670596,10
sonar,control,0.7666666686534882,0.05408483659049931,10
sonar,scarf,0.7785714268684387,0.03696232714107056,10
sonar,scarf_ae,0.7047619104385376,0.1081696792160765,10
wheat-seeds,control,0.8604651093482971,0.0606437493640646,10
wheat-seeds,scarf,0.8720930218696594,0.052260945687601,10
wheat-seeds,scarf_ae,0.8813953399658203,0.049278192337626696,10
wine,control,0.9499999940395355,0.05091750728817289,10
wine,scarf,0.9000000119209289,0.06478834950327303,10
wine,scarf_ae,0.9027777731418609,0.09065093665619418,10
