dataset,trial,iteration,mean_agreed_points,mean_churn,churn_pct_of_unlabeled
openml_11_balance-scale,1,1,236.66666666666666,236.66666666666666,72.15447154471545
openml_11_balance-scale,1,2,275.3333333333333,101.0,30.79268292682927
openml_11_balance-scale,1,3,312.0,47.0,14.329268292682926
openml_11_balance-scale,1,4,316.6666666666667,15.0,4.573170731707317
openml_11_balance-scale,1,5,316.6666666666667,14.333333333333334,4.369918699186992
openml_11_balance-scale,1,6,324.0,10.666666666666666,3.2520325203252027
openml_11_balance-scale,1,7,321.3333333333333,7.333333333333333,2.2357723577235773
openml_11_balance-scale,1,8,325.3333333333333,8.0,2.4390243902439024
openml_11_balance-scale,1,9,322.0,9.0,2.7439024390243905
openml_11_balance-scale,1,10,323.3333333333333,8.333333333333334,2.5406504065040654
openml_11_balance-scale,2,1,279.3333333333333,279.3333333333333,85.16260162601625
openml_11_balance-scale,2,2,295.3333333333333,51.333333333333336,15.650406504065042
openml_11_balance-scale,2,3,312.0,41.0,12.5
openml_11_balance-scale,2,4,312.0,25.0,7.621951219512195
openml_11_balance-scale,2,5,312.6666666666667,20.333333333333332,6.199186991869919
openml_11_balance-scale,2,6,321.3333333333333,14.666666666666666,4.471544715447155
openml_11_balance-scale,2,7,322.6666666666667,8.0,2.4390243902439024
openml_11_balance-scale,2,8,320.0,10.666666666666666,3.2520325203252027
openml_11_balance-scale,2,9,322.0,9.333333333333334,2.845528455284553
openml_11_balance-scale,2,10,316.0,11.666666666666666,3.556910569105691
openml_1494_qsar-biodeg,1,1,442.6666666666667,442.6666666666667,79.9037304452467
openml_1494_qsar-biodeg,1,2,554.0,111.33333333333333,20.096269554753306
openml_1494_qsar-biodeg,1,3,554.0,0.0,0.0
openml_1494_qsar-biodeg,2,1,415.3333333333333,415.3333333333333,74.96991576413959
openml_1494_qsar-biodeg,2,2,449.3333333333333,101.33333333333333,18.29121540312876
openml_1494_qsar-biodeg,2,3,554.0,104.66666666666667,18.892900120336943
openml_1494_qsar-biodeg,2,4,554.0,0.0,0.0
