setting,trial,method,min_epochs,test_acc,val_acc,total_epochs,best_epoch
100% Labeled,0,Control,0,0.7647058963775635,0.7857142686843872,15,11
100% Labeled,0,Control,15,0.770588219165802,0.8214285969734192,20,16
100% Labeled,0,Control+SCARF,0,0.7176470756530762,0.7023809552192688,9,5
100% Labeled,0,Control+SCARF,15,0.7588235139846802,0.75,17,9
100% Labeled,1,Control,0,0.7764706015586853,0.761904776096344,15,11
100% Labeled,1,Control,15,0.8117647171020508,0.8214285969734192,26,22
100% Labeled,1,Control+SCARF,0,0.7647058963775635,0.8333333134651184,13,9
100% Labeled,1,Control+SCARF,15,0.7647058963775635,0.8333333134651184,17,9
100% Labeled,2,Control,0,0.7411764860153198,0.773809552192688,11,7
100% Labeled,2,Control,15,0.7588235139846802,0.8095238208770752,21,17
100% Labeled,2,Control+SCARF,0,0.800000011920929,0.761904776096344,15,11
100% Labeled,2,Control+SCARF,15,0.7647058963775635,0.7857142686843872,19,15
100% Labeled,3,Control,0,0.7588235139846802,0.8095238208770752,15,11
100% Labeled,3,Control,15,0.7588235139846802,0.8095238208770752,17,11
100% Labeled,3,Control+SCARF,0,0.770588219165802,0.761904776096344,14,10
100% Labeled,3,Control+SCARF,15,0.7764706015586853,0.773809552192688,19,15
100% Labeled,4,Control,0,0.6823529601097107,0.726190447807312,7,3
100% Labeled,4,Control,15,0.7941176295280457,0.7976190447807312,22,18
100% Labeled,4,Control+SCARF,0,0.7588235139846802,0.75,10,6
100% Labeled,4,Control+SCARF,15,0.7764706015586853,0.773809552192688,17,13
100% Labeled,5,Control,0,0.7235293984413147,0.726190447807312,10,6
100% Labeled,5,Control,15,0.7647058963775635,0.773809552192688,17,12
100% Labeled,5,Control+SCARF,0,0.7235293984413147,0.726190447807312,9,5
100% Labeled,5,Control+SCARF,15,0.7529411911964417,0.761904776096344,17,10
100% Labeled,6,Control,0,0.7529411911964417,0.773809552192688,14,10
100% Labeled,6,Control,15,0.7529411911964417,0.773809552192688,17,10
100% Labeled,6,Control+SCARF,0,0.7647058963775635,0.773809552192688,16,12
100% Labeled,6,Control+SCARF,15,0.7647058963775635,0.773809552192688,17,12
